PLOT,FOREST_TYPE,CRTM_90_X,CRTM_90_Y,SAND,LIMO,CLAY,pH,ACIDITY,Ca,Mg,K,P,OrganicMatter,ELEV,SLOPE_PER,SLOPE_DEG,PREC,PRECDRIEST,PRECCV,TEMP,TEMPMIN,TEMPSD
F32P2,Foothills,488915.076,1134914.574,73.5,14,12.5,4.57,1.446,0.392,0.216,0.155,3.42,21.99,1149,23.35,16.84,3330,88,47,206,150,554
F32P3,Foothills,488967.0936,1135248.674,76,17,7,4.61,1.103,0.182,0.17,0.1,1.63,19.41,1122,6.71,8.11,3330,88,47,206,150,554
F33P1,Q. paraensis,499522.9764,1136561.252,68.51,14.5,17,4.59,1.544,0.179,0.144,0.083,2.69,11.51,399,11.04,8.11,4188,173,27,247,193,652
F33P2,P. macroloba,500213.7918,1136396.977,48.51,19,32.49,4.35,2.634,0.177,0.14,0.071,3.57,8.73,300,19.7,0,4146,171,27,250,196,717
F33P3,P. macroloba,499399.3871,1136906.954,51,19,30,4.31,2.309,0.144,0.177,0.098,2.39,10.33,391,13.7,8.05,4205,174,27,248,193,718
F33P4,Foothills,498526.8408,1136727.362,73.5,14,12.5,4.68,1.546,0.17,0.135,0.072,1.84,9.74,453,5.88,3.2,4231,175,27,245,190,650
F34P1,Foothills,491141.0406,1141285.855,60.5,14.5,25,4.34,2.334,0.616,0.122,0.083,2.7,10.14,536,18.75,13.52,4450,182,29,243,184,565
F34P2,Foothills,491059.5078,1140689.353,80.5,7,12.5,4.5,1.962,0.333,0.309,0.106,1.5,13,600,0,0,4439,182,29,239,184,565
F34P3,Foothills,491168.8712,1140419.667,80.5,12,7.5,4.6,2.115,0.262,0.166,0.077,1.7,12.38,520,0,0,4439,182,29,239,184,565
F34P4,Foothills,490726.8317,1140998.101,72.5,14.5,13,4.63,1.258,0.152,0.114,0.043,0.69,6.66,583,8.44,5.15,4439,182,29,239,184,565
F35P1,Foothills,481920.9783,1137326.134,77.5,14.5,8,4.83,1.566,0.243,0.273,0.105,2.05,16.1,820,4.16,1.01,4490,146,39,225,168,556
F35P2,Foothills,481045.8061,1137625.982,72.5,19.5,8,5.08,0.829,1.725,0.694,0.121,1.23,12.7,830,0,0,4358,145,40,230,169,494
F36P1,Foothills,482798.8081,1142140.559,33,35,32,4.82,5.386,1.431,0.685,0.207,1.41,3.63,380,0,0,4176,162,29,248,192,620
F36P2,Foothills,482592.2489,1142338.967,53.01,20,27,4.66,4.255,0.275,0.684,0.068,1.5,7.11,387,23.35,16.17,4176,160,29,248,193,642
F37P1,P. macroloba,494869.9787,1150466.139,20.5,17.5,62,4.32,3.91,0.306,0.225,0.066,2.37,5.28,120,17.3,2.02,4077,174,27,257,202,755
F37P2,P. macroloba,494387.0404,1151779.031,28.01,15,56.99,4.2,4.77,0.088,0.139,0.084,4.05,9.35,80,24.84,13.9,4022,171,27,259,206,732
F37P3,P. macroloba,494496.5406,1152055.656,33.01,10,57,4.07,6.552,0.088,0.135,0.075,7.05,8.46,73,26.41,15.35,4022,171,27,259,206,732
F37P4,P. macroloba,493739.2198,1151184.935,28.01,17.5,54.49,4.31,4.053,0.156,0.2,0.077,2.87,7.23,130,6.85,3.2,4061,172,27,257,204,711
F38P1,P. macroloba,489206.3616,1147331.638,35.51,17.5,46.99,4.75,2.583,0.551,0.293,0.061,0.94,4.66,240,0,0,4114,165,28,253,199,706
F38P2,Foothills,488903.0024,1146405.615,33.01,22.5,44.49,4.64,2.789,0.203,0.18,0.055,1.84,4.8,271,61.32,28.12,4180,168,28,251,197,676
F38P3,Q. paraensis,489768.9168,1147881.623,60.5,15,24.5,5,1.441,0.096,0.174,0.059,0.97,10.83,213,28.68,18.85,4107,167,28,254,200,686
F38P4,P. macroloba,489997.2175,1148367.89,30.51,17.5,51.99,4.48,3.251,0.257,0.275,0.085,1.64,5.03,200,0,0,4107,167,28,254,200,686
F39P1,P. macroloba,500437.1434,1142390.214,30.51,15,54.49,4.33,2.848,0.186,0.138,0.075,1.39,5.41,212,14.91,8.65,4182,178,27,254,201,740
F39P2,P. macroloba,500211.5104,1142598.811,23.01,22.5,54.49,4.58,2.696,0.271,0.283,0.057,0.86,3.87,227,14.32,8.11,4182,178,27,254,201,740
F3P1,P. macroloba,496017.3472,1170331.878,12.81,15.6,71.59,4.5,2.2,0.4,0.34,0.04,2.1,4.7,47,11.93,8.05,3802,137,32,259,205,711
F3P2,P. macroloba,495732.7918,1170652.152,14.82,17.6,67.59,4.4,3.72,0.21,0.3,0.04,2.3,4.15,47,12.04,8.05,3801,137,32,259,205,700
F3P3,P. macroloba,495243.6223,1170672.847,16.81,15.6,67.59,4.4,4.12,0.3,0.35,0.05,2.4,5.55,71,34.98,18.94,3801,137,32,259,205,700
F3P4,P. macroloba,494874.8527,1170641.466,16.81,15.6,67.59,4.4,2.75,0.22,0.41,0.06,3.7,7.07,140,3.62,1.01,3801,153,31,259,200,675
F40P1,P. macroloba,500413.013,1143682.301,40.51,15,44.49,4.22,4.641,0.172,0.17,0.076,2.91,6.74,160,3.34,0,4157,179,27,256,202,747
F40P2,P. macroloba,500397.5807,1144156.529,30.52,17.5,51.99,3.83,4.994,0.1,0.13,0.083,6.21,8.84,160,0,0,4145,179,27,256,203,747
F40P3,P. macroloba,500143.5261,1144726.38,20.51,20,59.5,4.59,2.657,0.085,0.208,0.038,0.47,2.5,140,0,0,4145,179,27,256,203,747
F40P4,P. macroloba,499577.5797,1144931.774,13.01,25,61.99,4.19,3.739,0.075,0.168,0.052,1.65,4.29,160,0.62,0,4142,178,27,256,202,730
F41P1,Foothills,498979.6463,1135161.167,66,19.5,14.5,4.49,1.472,0.081,0.223,0.11,2.63,11.12,493,11.23,7.05,4169,172,27,245,190,660
F41P2,Foothills,498531.7419,1135328.137,80.5,12,7.5,4.28,2.234,0.113,0.169,0.078,3.62,7.88,513,10.83,6.38,4173,172,28,243,188,647
F41P3,Foothills,498426.3857,1134951.61,75.5,12,12.5,4.48,2.393,0.181,0.25,0.116,2.4,14.69,557,14.89,8.59,4173,172,28,243,188,647
F41P4,Foothills,498795.1665,1134876.266,66,17.5,16.5,4.6,1.362,0.094,0.114,0.06,1.8,9.09,528,6.2,3.65,4173,170,28,243,189,669
F41P5,Foothills,499083.2107,1135556.689,68.51,17.5,14,4.52,3.602,0.372,0.159,0.139,4.16,11.39,447,22.64,11.4,4169,172,27,245,190,660
F41P6,P. macroloba,500522.9154,1135379.209,41.01,17.5,41.49,4.31,3.249,0.086,0.102,0.069,2.29,6.72,344,11.32,6.38,4130,170,28,249,195,727
F42P1,P. macroloba,498820.1608,1144144.944,36.01,17.5,46.49,4.31,3.626,0.247,0.226,0.088,3.23,7.39,201,25.26,14.3,4185,178,27,254,202,730
F42P2,P. macroloba,498985.6477,1144429.007,31.02,15,53.99,4.22,4.136,0.542,0.336,0.123,3.71,8.79,192,8.16,5.05,4154,178,27,256,202,730
F42P3,P. macroloba,499448.0393,1144431.645,25.51,20.5,53.99,4.34,3.475,0.13,0.124,0.069,3.04,6.79,180,3.72,0,4154,178,27,256,202,730
F42P4,Q. paraensis,499149.5599,1143810.27,58.5,19.5,22,4.44,2.152,0.2,0.165,0.079,3.14,12.06,186,12.65,9.88,4174,178,27,254,201,728
F43P1,P. macroloba,499831.8607,1141489.894,43.01,15.5,41.49,4.36,3.009,0.214,0.206,0.088,1.82,6.87,294,16.1,11,4304,179,27,250,199,731
F43P2,Q. paraensis,499095.8148,1141598.674,55.5,20.5,24,4.32,2.808,0.173,0.157,0.087,4.08,10.68,344,5.88,3.2,4304,181,27,250,196,664
F43P3,P. macroloba,500136.1041,1141592.425,40.51,18,41.49,4.21,3.847,0.142,0.167,0.076,4.12,8.99,275,31.68,15.62,4236,179,27,252,199,731
F44P1,Q. paraensis,487362.5687,1179168.57,15.51,15.5,68.99,4.68,2.661,1.396,0.536,0.104,1.64,5.56,50,0,0,3744,106,36,258,203,685
F44P2,Q. paraensis,487663.8012,1179436.337,25.51,15.5,58.99,4.3,4.351,0.264,0.208,0.083,3.37,5.54,60,0,0,3744,106,36,258,203,685
F44P3,P. macroloba,487882.0259,1178044.913,30.51,13,56.49,4.4,3.788,0.207,0.215,0.073,4.51,7.61,50,0,0,3744,111,35,258,204,677
F44P4,P. macroloba,487834.8814,1178540.744,20.52,13,66.48,4.23,4.308,0.165,0.228,0.07,3.02,6.8,50,0,0,3744,109,35,258,204,669
F45P1,Q. paraensis,490778.1331,1183461.135,21.5,12.5,66,4.49,3.563,0.109,0.146,0.059,2.07,7.29,60,0,0,3921,112,36,257,203,621
F45P2,P. macroloba,490991.0599,1183173.426,29.02,15,55.98,4.51,2.742,0.167,0.172,0.057,3.67,7.63,60,0,0,3909,112,36,257,203,621
F46P1,Q. paraensis,492135.281,1188872.187,26.52,15,58.49,4.57,2.901,0.156,0.427,0.085,3.83,7.48,40,3.1,0,4077,109,37,257,203,630
F46P2,Q. paraensis,492447.5297,1188630.418,21.51,17.5,60.99,4.39,3.377,0.106,0.224,0.069,5.36,9.46,40,0,0,4077,112,36,257,202,630
F47P1,P. macroloba,494410.4983,1184171.834,16.52,12.5,70.99,4.47,3.608,0.129,0.159,0.046,0.92,5.3,60,0,0,3977,120,35,257,203,613
F47P2,Q. paraensis,494848.4849,1184021.773,19.02,20,60.99,4.36,3.436,0.11,0.196,0.076,2.67,6.14,60,0,0,3977,120,35,257,203,613
F47P3,Q. paraensis,494885.3288,1184419.894,19.01,17.5,63.49,4.44,3.361,0.204,0.255,0.101,1.73,5.48,60,0,0,4000,120,35,257,203,613
F48P1,Q. paraensis,496138.2175,1182103.643,21.52,15,63.49,4.36,3.951,0.061,0.185,0.042,2.32,5.35,40,0,0,3938,126,35,257,203,657
F48P2,P. macroloba,495826.6551,1182109.657,29.01,15,55.99,4.26,4.02,0.144,0.242,0.079,4.56,7.5,40,6.93,3.04,3938,125,35,257,203,621
F49P1,P. macroloba,488998.9677,1176527.927,21.51,17.5,60.99,4.3,3.72,0.113,0.114,0.049,3.49,5.43,50,3.1,2.86,3722,114,35,258,204,677
F49P2,P. macroloba,488623.2299,1176405.715,21.52,15,63.49,4.48,3.171,0.177,0.139,0.039,1.34,4.27,59,1.96,1.01,3734,114,35,258,204,677
F49P3,P. macroloba,488755.8975,1176079.822,19.01,17.5,63.49,4.17,5.248,0.151,0.209,0.066,3.89,7.22,60,0,0,3734,116,35,258,204,670
F4P1,P. macroloba,495730.0641,1164327.306,22.42,15.6,61.99,4.5,2.66,0.25,0.2,0.04,2.2,4.93,30,0,0,3848,146,31,259,206,699
F4P2,P. macroloba,496113.1709,1164505.336,20.42,13.6,65.98,4.6,2.53,0.42,0.17,0.04,2,4.27,40,0,0,3848,144,31,259,207,710
F50P1,Q. paraensis,499296.4671,1181525.659,49.01,17.5,33.5,4.56,2.328,0.311,0.279,0.103,3.37,11.04,40,0.62,0,3951,135,34,257,203,653
F50P2,P. macroloba,499453.7832,1180755.131,19.01,15,65.99,4.38,3.774,0.1,0.112,0.038,1.96,4.27,36,5.3,3.04,3951,136,34,257,203,661
F50P3,Q. paraensis,499858.7744,1181011.856,21.51,17.5,60.99,4.27,4.511,0.148,0.134,0.054,2.88,5.61,40,0,0,3969,138,34,257,203,665
F50P4,P. macroloba,500184.2473,1180747.614,21.52,15,63.49,4.41,3.338,0.278,0.157,0.066,1.3,4.21,35,3.51,0,3969,139,34,257,203,654
F51P1,Q. paraensis,487132.3802,1185595.094,31,13,56,4.4,4.425,0.368,0.422,0.089,6.75,9.77,60,0,0,3947,100,37,257,202,637
F51P2,Q. paraensis,487013.5846,1186009.749,13.51,13,73.49,5.44,2.867,0.122,0.158,0.036,0.88,3.75,59,14.64,11.4,3947,100,37,257,202,637
F51P3,Q. paraensis,487331.1284,1186312.265,18.52,13,68.49,4.3,3.829,0.154,0.228,0.064,2.79,5.86,60,0,0,3959,98,37,257,203,612
F52P1,Foothills,493077.0496,1141332.602,74,10,16,4.26,3.679,0.277,0.184,0.118,3.92,14.23,480,2.24,0,4445,186,28,243,186,602
F52P2,Foothills,493348.6883,1141859.385,39.01,17.5,43.49,4.72,1.329,0.076,0.083,0.03,0.47,3.61,492,15.79,10.83,4445,186,27,243,189,578
F52P3,Q. paraensis,493508.1577,1144802.159,36.51,15,48.5,4.48,2.848,0.115,0.222,0.059,1.48,6.05,340,0,0,4330,180,27,249,195,662
F52P4,Foothills,493348.2998,1144582.956,26.51,25,48.49,4.28,3.937,0.153,0.186,0.062,1.86,5.6,346,12.77,8.98,4315,180,27,249,195,662
F52P5,Q. paraensis,493202.2757,1144032.019,51.51,17.5,30.99,4.57,2.685,0.156,0.237,0.072,3.26,10.15,378,16.28,5.71,4315,183,27,249,192,655
F52P6,Q. paraensis,493133.4758,1143722.052,41.51,20,38.49,4.52,2.567,0.192,0.237,0.073,2.33,7.57,400,0,0,4385,183,27,247,192,655
F52P7,Q. paraensis,493819.1966,1144950.043,44,17.5,38.5,4.33,2.177,0.22,0.15,0.118,3.86,7.29,340,0,0,4224,180,27,252,195,662
F53P1,Foothills,502814.6588,1127367.024,69,12.5,18.5,4.44,1.731,0.201,0.176,0.103,2.99,13.83,581,6.59,4.17,3750,144,30,238,183,587
F53P2,Foothills,502499.4622,1127539.868,66.51,12.5,21,4.4,2.044,0.193,0.156,0.109,2.26,8.98,625,10.1,5.71,3686,144,30,233,183,587
F54P1,Foothills,501560.3084,1128652.681,76.5,12.5,11,4.79,1.568,0.356,0.215,0.11,2.17,16.21,720,9.47,0,3643,139,32,229,176,570
F54P2,Foothills,501836.4556,1128596.334,69,12.5,18.5,4.56,1.897,0.234,0.201,0.148,1.86,9.56,700,1.96,0,3707,139,32,232,176,570
F54P3,Foothills,500659.9229,1129145.66,74.01,17.5,8.5,4.3,2.524,0.141,0.249,0.109,3.44,18.76,764,5.72,4.04,3622,133,34,228,173,579
F54P4,Foothills,500395.6993,1129311.984,79,17.5,3.5,4.7,0.564,0.233,0.14,0.08,0.89,23.88,768,10.6,5.15,3730,130,35,231,172,557
F54P5,Foothills,502925.0796,1129346.492,74,10,16,4.6,1.584,0.629,0.171,0.087,2.61,14.11,560,5.85,0,3876,146,30,237,180,606
F54P6,Foothills,503121.2358,1129624.96,66.5,12.5,21,4.94,1.999,1.166,0.35,0.093,1.47,8.54,623,30.9,17.88,3876,152,30,237,182,569
F5P1,P. macroloba,503433.7811,1156167.743,30.41,14.8,54.79,4.8,4.19,0.7,0.41,0.05,1,4.22,50,0,0,4009,161,30,260,207,800
F5P2,P. macroloba,503382.1235,1155821.646,32.41,12.8,54.79,4.3,5.13,0.24,0.15,0.07,3.5,5.39,50,0,0,4046,161,30,260,207,785
F5P3,P. macroloba,503331.4655,1155475.609,28.41,12.8,58.79,4.4,4.89,0.17,0.1,0.05,2.5,4.58,50,0,0,4046,161,30,260,207,785
F6P1,P. macroloba,508229.9021,1128970.327,56.4,13.6,30,4.4,2.92,0.18,0.14,0.04,2.3,7.1,297,21.09,13.83,4052,165,28,250,196,745
F6P2,P. macroloba,507817.54,1128951.583,32.41,15.6,51.99,4.8,1.35,0.22,0.18,0.02,1.5,3.66,320,0,0,4049,165,28,249,194,727
F6P3,P. macroloba,507468.9747,1129059.208,26.01,12,62,4.8,2.83,0.27,0.12,0.02,1.1,1.99,314,19.32,14.98,4049,165,28,249,194,727
F7P1,P. macroloba,491191.4553,1154663.817,38.01,15.6,46.39,4.7,1.77,0.31,0.15,0.04,1.8,3.39,80,0,0,3952,164,28,259,205,757
F7P2,P. macroloba,490896.7461,1154657.63,32,15.6,52.4,4.5,2.06,0.24,0.13,0.07,3.9,3.27,80,0,0,3952,164,28,259,205,757
F8P1,P. macroloba,481409.6269,1165492.201,8.02,13.6,78.38,4.6,2.29,0.4,0.2,0.04,1.7,3.4,80,1.96,0,3545,114,34,259,205,679
F8P2,P. macroloba,481418.2952,1165772.775,12.02,13.6,74.39,4.5,2.64,0.38,0.24,0.04,1.5,3.37,70,0,0,3545,114,34,259,205,679
F9P1,P. macroloba,467863.2904,1164945.733,16.01,13.6,70.39,4.6,2.31,1.46,0.49,0.14,1.9,4.53,70,0,0,3168,81,41,259,204,748
F9P2,P. macroloba,468047.3062,1164551.368,10.01,13.6,76.39,4.6,2.72,1.39,0.6,0.07,2,4.48,70,0,0,3168,81,41,259,204,748
F9P3,P. macroloba,467729.0682,1164483.542,22.01,17.6,60.39,4.7,1.77,1.18,0.59,0.08,1.9,4.03,70,0,0,3168,81,41,259,204,748
