site,gen,sp,seedlength.cat,maxht.cat,seedmass.mg,WSG,maxht,SLA,LDMC,seedlength.mm,,
SAR,Terminalia,amazonia,15 to <30 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Dichapetalum,axillare,1 to <6 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Sloanea,guianensis,15 to <30 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Sloanea,medusula,30 to <50 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Erythroxylum,fimbriatum,15 to <30 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Erythroxylum,macrophyllum,15 to <30 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Alchornea,costaricensis,15 to <30 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Alchornea,latifolia,15 to <30 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Alchornea,latifolia,15 to <30 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Alchorneopsis,floribunda,15 to <30 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Conceveiba,pleiostemona,1 to <6 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Croton,billbergianus,1 to <6 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Croton,schiedeanus,15 to <30 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Croton,smithianus,1 to <6 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Hevea,brasiliensis,50 to <100 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Mabea,klugii,NA,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Mabea,occidentalis,1 to <6 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Pausandra,trianae,15 to <30 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Pera,arborea,30 to <50 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Sapium,glandulosum,1 to <6 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Sapium,laurifolium,1 to <6 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Tetrorchidium,euryphyllum,1 to <6 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Abarema,adenophora,15 to <30 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Andira,inermis,30 to <50 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Balizia,elegans,15 to <30 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Dipteryx,panamensis,50 to <100 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Dussia,atroviolacea,NA,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Dussia,macroprophyllata,50 to <100 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Erythrina,cochleata,15 to <30 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Hymenolobium,mesoamericanum,15 to <30 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Inga,acuminata,15 to <30 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Inga,alba,15 to <30 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Inga,chocoensis,30 to <50 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Inga,cocleensis,15 to <30 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Inga,densiflora,>100 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Inga,jinicuil,50 to <100 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Inga,leiocalycina,30 to <50 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Inga,marginata,15 to <30 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Inga,mortoniana,30 to <50 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Inga,oerstediana,30 to <50 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Inga,pezizifera,30 to <50 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Inga,ruiziana,30 to <50 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Inga,samanensis,30 to <50 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Inga,sapindoides,30 to <50 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Inga,sertulifera,30 to <50 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Inga,spectabilis,30 to <50 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Inga,thibaudiana,15 to <30 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Inga,tonduzii,30 to <50 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Inga,umbellifera,30 to <50 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Inga,venusta,15 to <30 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Lonchocarpus,heptaphyllus,15 to <30 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Lonchocarpus,oliganthus,15 to <30 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Macrolobium,costaricense,30 to <50 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Ormosia,intermedia,15 to <30 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Ormosia,velutina,15 to <30 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Pentaclethra,macroloba,50 to <100 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Pterocarpus,hayesii,15 to <30 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Pterocarpus,rohrii,15 to <30 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Senna,papillosa,1 to <6 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Stryphnodendron,microstachyum,15 to <30 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Swartzia,costaricensis,30 to <50 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Swartzia,nicaraguensis,30 to <50 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Swartzia,ochnacea,30 to <50 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Tachigali,costaricensis,50 to <100 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Zygia,gigantifoliola,30 to <50 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Zygia,longifolia,30 to <50 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Potalia,turbinata,30 to <50 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Hernandia,didymantha,30 to <50 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Hernandia,stenura,30 to <50 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Humiriastrum,diguense,30 to <50 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Sacoglottis,trichogyna,50 to <100 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Vantanea,occidentalis,30 to <50 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Vismia,baccifera,1 to <6 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Vismia,billbergiana,1 to <6 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Vismia,macrophylla,1 to <6 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Calatola,costaricensis,50 to <100 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Lacistema,aggregatum,15 to <30 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Lozania,pittieri,1 to <6 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Callicarpa,acuminata,1 to <6 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Gmelina,arborea,30 to <50 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Vitex,cooperi,15 to <30 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Cinnamomum,chavarrianum,30 to <50 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Licaria,misantlae,30 to <50 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Licaria,sarapiquensis,30 to <50 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Licaria,triandra,NA,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Nectandra,cissiflora,1 to <6 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Nectandra,hypoleuca,15 to <30 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Nectandra,membranacea,15 to <30 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Nectandra,reticulata,15 to <30 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Nectandra,umbrosa,1 to <6 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Ocotea,atirrensis,15 to <30 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Ocotea,bijuga,15 to <30 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Ocotea,cernua,15 to <30 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Ocotea,dendrodaphne,15 to <30 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Ocotea,floribunda,1 to <6 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Ocotea,hartshorniana,30 to <50 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Ocotea,insularis,15 to <30 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Ocotea,laetevirens,30 to <50 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Ocotea,leucoxylon,15 to <30 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Ocotea,macropoda,1 to <6 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Ocotea,mollifolia,15 to <30 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Ocotea,pentagona,15 to <30 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Ocotea,tenera,1 to <6 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Persea,americana,>100 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Persea,laevifolia,NA,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Persea,silvatica,50 to <100 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Rhodostemonodaphne,kunthiana,50 to <100 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Eschweilera,collinsii,15 to <30 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Eschweilera,costaricensis,15 to <30 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Grias,cauliflora,>100 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Lecythis,ampla,>100 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Ruptiliocarpon,caracolito,15 to <30 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Talauma,gloriensis,15 to <30 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Bunchosia,macrophylla,15 to <30 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Byrsonima,arthropoda,15 to <30 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Byrsonima,crassifolia,15 to <30 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Spachea,correae,1 to <6 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Apeiba,membranacea,1 to <6 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Ceiba,pentandra,1 to <6 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Goethalsia,meiantha,30 to <50 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Hampea,appendiculata,15 to <30 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Herrania,purpurea,30 to <50 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Luehea,seemannii,15 to <30 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Mortoniodendron,guatemalense,15 to <30 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Pachira,aquatica,30 to <50 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Quararibea,bracteolosa,30 to <50 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Quararibea,ochrocalyx,15 to <30 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Quararibea,parvifolia,30 to <50 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Sterculia,recordiana,50 to <100 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Theobroma,cacao,50 to <100 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Theobroma,mammosum,30 to <50 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Conostegia,superba,1 to <6 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Graffenrieda,galeottii,1 to <6 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Henriettella,tuberculosa,1 to <6 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Loreya,mespiloides,1 to <6 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Miconia,affinis,<1 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Miconia,bubalina,<1 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Miconia,dorsiloba,<1 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Miconia,elata,<1 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Miconia,longifolia,<1 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Miconia,minutiflora,<1 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Miconia,multispicata,<1 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Miconia,prasina,<1 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Miconia,punctata,<1 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Miconia,simplex,<1 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Miconia,sparrei,<1 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Miconia,stevensiana,<1 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Mouriri,gleasoniana,15 to <30 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Ossaea,brenesii,1 to <6 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Ossaea,macrophylla,1 to <6 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Carapa,guianensis,>100 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Carapa,nicaraguensis,>100 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Cedrela,odorata,15 to <30 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Guarea,bullata,30 to <50 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Guarea,chiricana,15 to <30 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Guarea,ciliata,15 to <30 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Guarea,grandifolia,30 to <50 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Guarea,guidonia,30 to <50 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Guarea,pterorhachis,15 to <30 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Guarea,rhopalocarpa,30 to <50 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Trichilia,septentrionalis,15 to <30 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Mollinedia,costaricensis,15 to <30 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Brosimum,guianense,15 to <30 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Brosimum,lactescens,15 to <30 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Castilla,elastica,15 to <30 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Clarisia,biflora,30 to <50 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Ficus,brevibracteata,1 to <6 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Ficus,colubrinae,<1 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Ficus,insipida,1 to <6 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Ficus,richteri,1 to <6 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Ficus,tonduzii,15 to <30 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Maquira,guianensis,15 to <30 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Naucleopsis,naga,30 to <50 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Perebea,angustifolia,15 to <30 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Perebea,hispidula,15 to <30 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Pseudolmedia,spuria,15 to <30 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Sorocea,pubivena,15 to <30 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Trophis,involucrata,15 to <30 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Trophis,racemosa,15 to <30 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Otoba,novogranatensis,30 to <50 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Virola,koschnyi,30 to <50 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Virola,multiflora,30 to <50 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Virola,sebifera,15 to <30 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Eugenia,glandulosopunctata,15 to <30 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Eugenia,hammelii,NA,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Myrcia,splendens,15 to <30 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Myrciaria,floribunda,15 to <30 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Psidium,guajava,1 to <6 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Syzygium,jambos,50 to <100 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Syzygium,malaccense,50 to <100 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Neea,amplifolia,15 to <30 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Neea,delicatula,1 to <6 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Neea,elegans,15 to <30 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Neea,laetevirens,1 to <6 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Neea,urophylla,15 to <30 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Cespedesia,spathulata,1 to <6 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Lacunaria,panamensis,15 to <30 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Ouratea,valerioi,15 to <30 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Quiina,macrophylla,15 to <30 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Minquartia,guianensis,30 to <50 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Heisteria,concinna,30 to <50 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Freziera,grisebachii,1 to <6 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Hieronyma,alchorneoides,1 to <6 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Hieronyma,oblonga,1 to <6 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Richeria,obovata,15 to <30 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
