forest_type,plot,N,D,Q,U,redundancy
P.macroloba,F44P4,10,0.770975057,0.411776266,0.534098039,0.465901961
Q.paraensis,F45P1,14,0.839476813,0.343797067,0.409537299,0.590462701
P.macroloba,F45P2,17,0.836762689,0.384444444,0.459442623,0.540557377
Q.paraensis,F46P1,11,0.875283447,0.279879063,0.319758204,0.680241796
Q.paraensis,F46P2,10,0.888888889,0.391203704,0.440104167,0.559895833
P.macroloba,F47P1,11,0.689453125,0.320078125,0.464249292,0.535750708
Q.paraensis,F47P2,13,0.906574394,0.383367935,0.422875318,0.577124682
Q.paraensis,F47P3,11,0.831758034,0.367183365,0.441454545,0.558545455
Q.paraensis,F48P1,11,0.850694444,0.331423611,0.389591837,0.610408163
P.macroloba,F48P2,16,0.77764566,0.358192628,0.460611621,0.539388379
P.macroloba,F49P1,9,0.466111772,0.284486722,0.610340136,0.389659864
P.macroloba,F49P2,12,0.78125,0.337013889,0.431377778,0.568622222
P.macroloba,F49P3,10,0.632231405,0.29838843,0.471960784,0.528039216
P.macroloba,F4P1,7,0.585034014,0.247694633,0.423385013,0.576614987
P.macroloba,F4P2,10,0.767485822,0.40352867,0.525779967,0.474220033
Q.paraensis,F50P1,12,0.847107438,0.338553719,0.399658537,0.600341463
P.macroloba,F50P2,11,0.775510204,0.279123205,0.359922027,0.640077973
Q.paraensis,F50P3,16,0.925619835,0.242369146,0.261845238,0.738154762
P.macroloba,F50P4,6,0.471655329,0.239304611,0.507371795,0.492628205
Q.paraensis,F51P1,18,0.93877551,0.286606198,0.305297907,0.694702093
Q.paraensis,F51P2,11,0.875,0.203359375,0.232410714,0.767589286
Q.paraensis,F51P3,16,0.923076923,0.261893491,0.283717949,0.716282051
Foothills,F52P1,15,0.921487603,0.388292011,0.421375187,0.578624813
Foothills,F52P2,22,0.946492271,0.371256441,0.392244556,0.607755444
Q.paraensis,F52P3,15,0.8768,0.32832,0.374452555,0.625547445
Foothills,F52P4,12,0.897777778,0.395881481,0.440957096,0.559042904
Q.paraensis,F52P5,18,0.930056711,0.253434152,0.272493225,0.727506775
Q.paraensis,F52P6,18,0.927083333,0.23681713,0.255443196,0.744556804
Q.paraensis,F52P7,12,0.865051903,0.30733564,0.35528,0.64472
Foothills,F53P1,12,0.888888889,0.420720165,0.473310185,0.526689815
Foothills,F53P2,8,0.864197531,0.424197531,0.490857143,0.509142857
Foothills,F54P1,14,0.913580247,0.299835391,0.328198198,0.671801802
Foothills,F54P2,15,0.91,0.3471,0.381428571,0.618571429
Foothills,F54P3,11,0.887573964,0.456252465,0.514044444,0.485955556
Foothills,F54P4,10,0.871111111,0.349451852,0.401156463,0.598843537
Foothills,F54P5,14,0.928571429,0.378435374,0.407545788,0.592454212
Foothills,F54P6,22,0.946745562,0.341203156,0.360395833,0.639604167
P.macroloba,F5P1,10,0.742382271,0.322400739,0.434278607,0.565721393
P.macroloba,F5P2,8,0.731301939,0.283730379,0.387979798,0.612020202
P.macroloba,F5P3,10,0.708571429,0.253442177,0.357680492,0.642319508
P.macroloba,F6P1,7,0.49905482,0.278941399,0.558939394,0.441060606
P.macroloba,F6P2,14,0.834710744,0.379063361,0.454125413,0.545874587
P.macroloba,F6P3,9,0.608695652,0.340617517,0.559585921,0.440414079
P.macroloba,F7P1,10,0.826388889,0.416041667,0.503445378,0.496554622
P.macroloba,F7P2,11,0.780045351,0.367377173,0.470968992,0.529031008
P.macroloba,F8P1,11,0.647928994,0.289191321,0.446331811,0.553668189
P.macroloba,F8P2,7,0.426020408,0.173069728,0.406247505,0.593752495
P.macroloba,F9P1,8,0.581618656,0.228294467,0.392515723,0.607484277
P.macroloba,F9P2,11,0.673008323,0.375005945,0.557208481,0.442791519
P.macroloba,F9P3,7,0.485596708,0.191184271,0.393709981,0.606290019
